nom_de_larret,coordonnees_gps_(vias_ardallion__grau_dagde),coordonnees_gps_(grau_dagde_vias_ardallion),numero_de_ligne
Agde Gare SNCF,"43.316955, 3.46597",,Ligne 7
Metallurgie,"43.37998, 3.46898","43.38021, 3.46893",Ligne 7
Parc Blay,"43.38391, 3.46423","43.38395, 3.46471",Ligne 7
Peyrou,"43.38686, 3.464471","43.38666, 3.46445",Ligne 7
Marcadal,"43.38879, 3.472242","43.38879, 3.472242",Ligne 7
Boulodrome,"43.385885, 3.473257","43.385903, 3.473184",Ligne 7
La Croix,"43.390707, 3.493321","43.390739, 3.493476",Ligne 7
Mediatheque,"43.391748, 3.498425","43.39167, 3.49808",Ligne 7
Cigale,"43.395232, 3.501899",,Ligne 7
Via Domitia,"43.405977, 3.511244",,Ligne 7
Picpoul,"43.40667, 3.5085",,Ligne 7
Lauriers,"43.405644, 3.503527",,Ligne 7
Peyral,"43.434495, 3.438413",,Ligne 7
Coudonniers,"43.442269, 3.441508",,Ligne 7
Pezenas Moliere,"43.460632, 3.425853","43.460632, 3.425853",Ligne 7
